File,Baseline,Baseline Date,Peak,Peak Date,Percent Increase
British monarch,49.0,05/01/2018,177.0,05/19/2018,261.22
Ferdinand of Romania,13.6,06/18/2018,49.0,05/20/2018,260.29
"Heinrich XXIV, Count Reuss of Ebersdorf",17.4,06/13/2018,62.4,05/20/2018,258.62
Alexandra of Denmark,1677.4,05/11/2018,5994.8,05/19/2018,257.39
"Macbeth, King of Scotland",486.2,06/09/2018,1691.6,05/09/2018,247.92
Battenberg family,196.4,05/04/2018,678.0,05/19/2018,245.21
Harold Harefoot,422.8,06/16/2018,1441.6,05/19/2018,240.96
"Prince Albert Victor, Duke of Clarence and Avondale",855.0,06/16/2018,2889.4,05/19/2018,237.94
"Louise, Princess Royal",419.2,05/11/2018,1400.8,05/20/2018,234.16
Delhi Durbar,339.2,06/16/2018,1132.0,05/19/2018,233.73
Kensington System,154.4,06/15/2018,513.0,05/20/2018,232.25
List of statues of Queen Victoria,27.4,05/01/2018,91.0,05/19/2018,232.12
George V of Hanover,417.0,05/11/2018,1371.4,05/19/2018,228.87
"Albert, Prince Consort",3390.0,06/15/2018,10974.8,05/19/2018,223.74
Constantine III of Scotland,42.4,06/17/2018,136.4,05/20/2018,221.7
"Prince Arthur, Duke of Connaught and Strathearn",703.6,05/11/2018,2246.6,05/19/2018,219.3
Golden Jubilee of Queen Victoria,99.0,06/15/2018,312.0,05/20/2018,215.15
Carl XVI Gustaf of Sweden,1397.4,05/11/2018,4374.0,05/22/2018,213.01
Indulf,35.4,06/17/2018,109.4,05/19/2018,209.04
Charles I of England,5428.4,06/16/2018,16774.0,05/19/2018,209.0
Harold Godwinson,1332.4,06/15/2018,4108.8,05/19/2018,208.38
Dorothea Jordan,197.6,05/03/2018,606.0,05/20/2018,206.68
Crown Princess Margaret of Sweden,22.6,05/08/2018,69.0,05/20/2018,205.31
Osborne House,464.0,05/09/2018,1405.2,05/20/2018,202.84
Felipe VI of Spain,1812.8,05/05/2018,5363.2,05/19/2018,195.85
Charles III,18.4,06/16/2018,54.2,05/19/2018,194.57
"Frederick VI, Landgrave of Hesse-Homburg",24.6,06/14/2018,72.2,05/22/2018,193.5
Haemophilia in European royalty,433.2,06/15/2018,1270.2,05/19/2018,193.21
Edward the Confessor,1513.2,06/16/2018,4435.4,05/19/2018,193.11
"Louise, Princess Royal and Duchess of Fife",36.2,06/06/2018,106.0,05/20/2018,192.82
Harald V of Norway,1033.6,05/11/2018,3013.6,05/20/2018,191.56
"Emich Carl, 2nd Prince of Leiningen",69.6,05/02/2018,202.8,05/20/2018,191.38
Charles II of England,4992.8,05/11/2018,14538.8,05/19/2018,191.2
Alexander Bassano,84.4,05/08/2018,244.8,05/20/2018,190.05
Edgar Ætheling,207.0,06/15/2018,579.8,05/19/2018,180.1
Henry III of England,1849.0,05/04/2018,5127.6,05/19/2018,177.32
Countess Karoline Ernestine of Erbach-Schönberg,21.4,06/09/2018,59.2,05/20/2018,176.64
"John Campbell, 9th Duke of Argyll",149.4,04/28/2018,411.2,06/02/2018,175.23
"Alfred, Duke of Saxe-Coburg and Gotha",869.4,05/11/2018,2377.2,05/19/2018,173.43
"Carl, 3rd Prince of Leiningen",127.8,05/04/2018,348.6,05/21/2018,172.77
"Alexander Duff, 1st Duke of Fife",96.8,05/02/2018,264.0,05/20/2018,172.73
Henry IV of England,1841.0,05/05/2018,5014.2,05/19/2018,172.36
Kingdom of Hanover,483.2,06/13/2018,1315.6,04/30/2018,172.27
"Elizabeth Pakenham, Countess of Longford",29.0,05/04/2018,78.8,06/15/2018,171.72
Passant guardant,4.0,05/04/2018,10.8,05/19/2018,170.0
Adelaide of Saxe-Meiningen,335.0,05/10/2018,900.6,05/19/2018,168.84
Edward IV of England,2916.6,05/11/2018,7827.4,05/19/2018,168.37
Cabinet of the United Kingdom,786.2,05/26/2018,2099.6,04/30/2018,167.06
Henry VI of England,2512.4,06/16/2018,6661.6,05/19/2018,165.15
1887 Golden Jubilee Honours,5.6,05/22/2018,14.8,06/05/2018,164.29
Mrs. Brown (film),32.8,04/30/2018,86.2,05/21/2018,162.8
"Alfred, Hereditary Prince of Saxe-Coburg and Gotha",167.4,05/05/2018,434.8,05/19/2018,159.74
"Frederick William, Grand Duke of Mecklenburg-Strelitz",9.4,06/16/2018,24.4,05/25/2018,159.57
Louise Lehzen,107.8,06/18/2018,279.8,05/20/2018,159.55
Louis-Napoleon Bonaparte,7.6,06/10/2018,19.4,04/29/2018,155.26
Frederica of Mecklenburg-Strelitz,92.2,06/10/2018,235.2,05/20/2018,155.1
Cuilén,50.6,06/02/2018,129.0,05/19/2018,154.94
"Frederick, Duke of York",8.6,05/01/2018,21.8,06/18/2018,153.49
Maud of Wales,449.0,05/11/2018,1136.8,05/16/2018,153.18
Jubilee Issue,3.8,05/14/2018,9.6,04/28/2018,152.63
Joseph Chamberlain,251.0,06/16/2018,633.0,06/10/2018,152.19
Prince Alexander John of Wales,43.2,05/08/2018,108.8,05/20/2018,151.85
Penny Black,176.6,06/11/2018,443.4,05/01/2018,151.08
List of places named after Queen Victoria,41.0,04/28/2018,102.8,05/25/2018,150.73
Henry V of England,2102.4,05/05/2018,5235.6,05/19/2018,149.03
Mary I of England,5872.6,06/15/2018,14590.0,05/19/2018,148.44
Order of Charles III,62.8,05/13/2018,155.8,06/01/2018,148.09
"Charlotte Percy, Duchess of Northumberland",13.8,05/11/2018,34.2,05/24/2018,147.83
Countess Augusta Reuss of Ebersdorf,79.4,06/08/2018,195.6,05/20/2018,146.35
"Constitution Hill, London",25.0,04/27/2018,61.0,05/30/2018,144.0
Charles Manners-Sutton,21.2,05/06/2018,51.4,05/19/2018,142.45
"Edgar, King of Scotland",76.6,05/04/2018,184.8,05/20/2018,141.25
Mary II of England,859.0,05/05/2018,2061.0,05/19/2018,139.93
Louis VIII of France,398.6,05/25/2018,954.4,04/27/2018,139.44
Edward Oxford,161.0,05/09/2018,384.2,05/20/2018,138.63
Constitutional monarch,25.2,05/05/2018,60.0,05/19/2018,138.1
Edward V of England,913.0,06/17/2018,2166.8,05/19/2018,137.33
Henry II of England,2495.8,06/16/2018,5861.4,05/12/2018,134.85
Mrs Brown,186.2,06/15/2018,431.6,05/28/2018,131.79
Malcolm I of Scotland,77.0,06/17/2018,178.2,05/19/2018,131.43
Postnatal depression,22.4,05/10/2018,51.4,05/22/2018,129.46
Constitutional monarchy,2300.2,05/05/2018,5209.2,05/19/2018,126.47
Frederica of Hanover,280.0,05/02/2018,633.0,05/19/2018,126.07
BBC,5700.6,06/09/2018,12854.8,05/06/2018,125.5
Lady Jane Grey,3118.2,05/05/2018,7019.0,05/19/2018,125.1
Grand Duchess Maria Alexandrovna of Russia,285.6,05/12/2018,640.8,05/19/2018,124.37
Kenneth III of Scotland,72.0,06/08/2018,161.4,05/19/2018,124.17
Constantine II of Scotland,88.4,06/17/2018,197.0,05/01/2018,122.85
Coronation of Queen Victoria,109.6,05/05/2018,244.2,05/20/2018,122.81
"Amlaíb, King of Scotland",31.6,05/04/2018,69.8,05/19/2018,120.89
Henry VIII of England,12681.2,04/28/2018,27586.8,05/19/2018,117.54
Duke of Argyll,218.2,05/02/2018,472.4,05/19/2018,116.5
Devonshire House Ball of 1897,6.8,06/18/2018,14.6,05/24/2018,114.71
Henry VII of England,4810.2,05/11/2018,10303.6,05/19/2018,114.2
Belgrave Square,132.0,06/08/2018,281.6,05/19/2018,113.33
House of Orleans,14.2,05/03/2018,30.0,06/10/2018,111.27
Henry Tanworth Wells,7.4,05/04/2018,15.6,05/25/2018,110.81
Dash (spaniel),124.6,06/14/2018,262.4,05/19/2018,110.59
Colin Matthew,14.6,05/30/2018,30.6,05/10/2018,109.59
"John, King of England",2954.2,06/16/2018,6183.6,05/19/2018,109.32
Legion of Honour,1200.2,04/27/2018,2507.2,05/31/2018,108.9
Prince Alexander of the Netherlands,76.0,05/15/2018,158.4,05/20/2018,108.42
Biarritz,503.4,04/27/2018,1048.4,06/10/2018,108.26
Balmoral cairns,10.6,06/15/2018,22.0,06/03/2018,107.55
Battersea Dogs Home,8.2,06/09/2018,17.0,05/20/2018,107.32
Penny Black VR official,8.6,05/13/2018,17.8,05/09/2018,106.98
Government of Ireland Bill 1886,20.2,06/16/2018,41.6,05/15/2018,105.94
Alexander I of Scotland,119.4,05/04/2018,245.6,05/20/2018,105.7
Order of the Crown of India,28.4,05/12/2018,58.4,05/25/2018,105.63
Philip II of Spain,2724.4,05/05/2018,5549.2,05/20/2018,103.69
Hohenlohe-Langenburg,28.8,04/28/2018,58.6,05/12/2018,103.47
John Conroy,241.4,05/04/2018,489.2,05/20/2018,102.65
Kenneth II of Scotland,97.6,06/13/2018,197.4,05/20/2018,102.25
Giric,61.0,06/04/2018,123.0,05/20/2018,101.64
James VI and I,4329.8,06/16/2018,8718.4,05/20/2018,101.36
List of prime ministers of Queen Victoria,141.8,05/08/2018,284.8,05/03/2018,100.85
George Washington Wilson,11.0,06/15/2018,22.0,05/23/2018,100.0
Domnall mac Ailpín,60.6,06/04/2018,120.6,05/20/2018,99.01
"Ernest Augustus, Crown Prince of Hanover",54.0,05/04/2018,107.4,05/20/2018,98.89
German National Library of Economics,32.4,06/16/2018,64.4,05/18/2018,98.77
James III of Scotland,323.0,05/05/2018,634.0,05/20/2018,96.28
Henry Ponsonby,29.0,06/17/2018,56.8,06/02/2018,95.86
Bedchamber crisis,147.4,05/08/2018,286.0,05/30/2018,94.03
Caroline Matilda of Great Britain,294.8,05/02/2018,570.6,05/21/2018,93.55
"Louis IV, Grand Duke of Hesse",243.0,05/04/2018,464.8,04/27/2018,91.28
David II of Scotland,276.8,05/03/2018,527.8,06/05/2018,90.68
"Jubilee Clock Tower, Weymouth",4.0,04/28/2018,7.6,06/06/2018,90.0
Alexandra Feodorovna (Alix of Hesse),1495.2,05/11/2018,2828.4,05/20/2018,89.17
Marie of Romania,351.4,05/03/2018,662.2,05/19/2018,88.45
Lady Flora Hastings,247.6,06/15/2018,465.4,05/20/2018,87.96
House of Welf,259.4,06/16/2018,485.2,05/19/2018,87.05
Empress Matilda,1037.8,05/05/2018,1935.6,05/19/2018,86.51
20th Century Press Archives,29.4,06/02/2018,54.8,05/18/2018,86.39
Infante Gonzalo of Spain,84.2,05/06/2018,156.4,05/21/2018,85.75
"Ernest Louis, Grand Duke of Hesse",250.0,05/04/2018,463.8,05/20/2018,85.52
Henry the Young King,369.2,06/16/2018,684.2,05/12/2018,85.32
James II of Scotland,347.8,05/05/2018,643.8,05/20/2018,85.11
Liberal Party (UK),826.2,06/15/2018,1529.2,05/20/2018,85.09
James II of England,2253.8,05/05/2018,4140.2,05/19/2018,83.7
Louise of Great Britain,130.2,05/02/2018,236.4,05/19/2018,81.57
Boulogne-sur-Mer,334.6,04/28/2018,604.8,05/18/2018,80.75
Marie of Saxe-Altenburg,50.0,05/11/2018,90.2,05/19/2018,80.4
Church of Scotland,473.0,05/05/2018,850.0,05/19/2018,79.7
Conservative Party (UK),2493.4,06/16/2018,4474.8,05/04/2018,79.47
Leopold I of Belgium,957.6,06/16/2018,1717.8,05/20/2018,79.39
Malcolm II of Scotland,151.0,06/08/2018,270.8,05/20/2018,79.34
Château d'Eu,34.4,05/06/2018,61.6,05/13/2018,79.07
Maynooth Grant,18.2,06/14/2018,32.4,06/05/2018,78.02
House of Hohenzollern,1052.4,04/28/2018,1865.0,05/20/2018,77.21
Cultural depictions of Queen Victoria,33.8,06/15/2018,59.8,05/25/2018,76.92
Edward II of England,2057.8,05/04/2018,3633.2,06/12/2018,76.56
Cnut,25.4,05/05/2018,44.6,05/17/2018,75.59
Malvern Hills,146.4,04/27/2018,255.8,05/11/2018,74.73
Munshi,130.4,06/15/2018,227.8,05/21/2018,74.69
Alexander II of Scotland,184.4,06/08/2018,322.0,05/27/2018,74.62
Diamond Jubilee of Queen Victoria,14.8,04/26/2018,25.8,05/19/2018,74.32
Haakon VII of Norway,654.4,05/11/2018,1132.2,05/19/2018,73.01
Donald II of Scotland,96.4,06/04/2018,166.0,05/20/2018,72.2
Anglo-Zulu War,606.2,06/15/2018,1038.0,05/23/2018,71.23
George Hayter,33.0,05/11/2018,56.4,05/29/2018,70.91
"Alfonso, Prince of Asturias (1907–1938)",173.0,05/12/2018,295.0,05/20/2018,70.52
Kensington,558.0,06/16/2018,950.8,05/19/2018,70.39
George Earle Buckle,9.4,05/31/2018,16.0,05/26/2018,70.21
Field of the Cloth of Gold,187.4,05/05/2018,317.6,05/13/2018,69.48
Liberal conservatism,442.8,05/05/2018,746.6,06/08/2018,68.61
Internet Archive,989.2,06/17/2018,1663.2,05/18/2018,68.14
Feargus O'Connor,32.2,06/12/2018,53.8,05/01/2018,67.08
Franz Xaver Winterhalter,121.2,06/15/2018,201.8,05/01/2018,66.5
Penny Blue,16.6,06/15/2018,27.6,05/29/2018,66.27
House of Lords,2539.4,06/16/2018,4217.0,05/01/2018,66.06
1838 Coronation Honours,8.8,04/29/2018,14.6,05/07/2018,65.91
Kingdom of Hawaii,732.4,04/27/2018,1207.6,05/07/2018,64.88
Benjamin Disraeli,1185.6,06/16/2018,1954.0,04/30/2018,64.81
Jubilee Diamond,13.6,06/16/2018,22.4,05/17/2018,64.71
Jubilee,532.6,06/15/2018,877.0,05/19/2018,64.66
Penny Venetian Red,5.0,06/15/2018,8.2,05/01/2018,64.0
Juliet Gardiner,13.2,05/06/2018,21.6,05/24/2018,63.64
Oliver Cromwell,3844.6,06/16/2018,6279.6,05/19/2018,63.34
British embossed postage stamps,5.4,05/02/2018,8.8,05/29/2018,62.96
Corn Laws,586.6,06/15/2018,950.0,05/03/2018,61.95
Abdul Karim (the Munshi),1020.2,05/09/2018,1643.4,05/13/2018,61.09
Or (heraldry),74.8,05/06/2018,120.2,04/29/2018,60.7
Napoleon I,713.8,06/16/2018,1138.2,05/05/2018,59.46
Michael Maclagan,18.0,05/24/2018,28.6,05/01/2018,58.89
Albert Medal (Royal Society of Arts),36.4,06/10/2018,57.8,05/15/2018,58.79
Congress of Berlin,236.6,06/02/2018,375.6,05/18/2018,58.75
King of Belgium,5.8,05/11/2018,9.2,05/30/2018,58.62
Charles Greville (diarist),19.0,05/06/2018,30.0,05/24/2018,57.89
"Mary, Queen of Scots",12378.0,06/15/2018,19535.6,05/20/2018,57.83
Haemophilia B,190.4,05/05/2018,300.4,05/20/2018,57.77
James Redhouse,6.6,05/28/2018,10.4,05/24/2018,57.58
James V of Scotland,969.2,05/05/2018,1510.0,05/20/2018,55.8
High treason,318.4,04/28/2018,494.8,05/19/2018,55.4
Frederick I of Württemberg,82.8,04/27/2018,128.2,05/10/2018,54.83
Empire of Brazil,610.2,05/26/2018,944.8,05/13/2018,54.83
British Empire,5759.6,05/05/2018,8824.0,05/19/2018,53.21
"George, Prince Regent",3.4,04/27/2018,5.2,06/09/2018,52.94
Argent,182.0,06/08/2018,277.6,05/19/2018,52.53
Henry Labouchère,25.8,05/12/2018,39.2,06/06/2018,51.94
Great Britain,4329.4,05/05/2018,6572.6,05/19/2018,51.81
"Dub, King of Scotland",55.6,05/10/2018,84.2,05/20/2018,51.44
Mughal emperor,68.6,05/07/2018,103.6,05/02/2018,51.02
Order of the Star of India,199.2,06/16/2018,298.6,05/19/2018,49.9
Peelite,69.4,06/16/2018,104.0,04/30/2018,49.86
Potato blight,43.4,06/01/2018,64.6,05/19/2018,48.85
Birching,297.6,05/09/2018,441.4,05/20/2018,48.32
Canada 12d black,5.8,04/30/2018,8.6,05/14/2018,48.28
1897 Diamond Jubilee Honours,12.6,04/30/2018,18.6,05/23/2018,47.62
Hanoverian princess,6.8,05/12/2018,10.0,05/22/2018,47.06
House of Romanov,1940.4,05/04/2018,2829.4,05/20/2018,45.82
House of Orléans,207.2,05/05/2018,301.2,05/20/2018,45.37
Exposition Universelle (1855),62.4,05/30/2018,90.6,04/30/2018,45.19
Blazon,205.0,06/02/2018,295.4,05/27/2018,44.1
Grand Duke Kirill Vladimirovich of Russia,109.8,05/04/2018,158.0,05/20/2018,43.9
John Balliol,260.4,05/12/2018,373.8,04/27/2018,43.55
Hohenzollern-Sigmaringen,113.4,05/03/2018,162.4,05/19/2018,43.21
Chloroform,1712.0,06/16/2018,2447.8,05/18/2018,42.98
"Infante Alfonso, Duke of Galliera",58.4,05/29/2018,83.2,05/19/2018,42.47
Joseph Lister,473.4,05/19/2018,674.0,05/04/2018,42.37
Journal of British Studies,6.2,05/03/2018,8.8,04/30/2018,41.94
Coat of arms of Ireland,178.6,04/30/2018,251.8,05/25/2018,40.99
Order of Saint Isabel,9.8,05/02/2018,13.8,05/09/2018,40.82
Bodleian Library,293.8,06/15/2018,413.6,05/01/2018,40.78
Duncan I of Scotland,247.4,06/09/2018,347.8,05/09/2018,40.58
Lulach,111.8,06/04/2018,156.6,05/09/2018,40.07
"Clock Tower, Brighton",17.0,05/03/2018,23.8,05/15/2018,40.0
Khartoum,769.8,06/09/2018,1075.8,06/16/2018,39.75
"Montagu Corry, 1st Baron Rowton",8.6,05/03/2018,12.0,05/31/2018,39.53
Chalon head,5.6,05/13/2018,7.8,05/31/2018,39.29
Carbolic acid,55.8,06/14/2018,77.4,05/01/2018,38.71
"Margaret, Maid of Norway",215.0,05/12/2018,296.2,05/27/2018,37.77
Order of the White Elephant,36.6,04/30/2018,50.4,05/20/2018,37.7
Kingdom of Serbia,484.0,05/07/2018,665.4,06/17/2018,37.48
King Charles Spaniel,390.2,05/09/2018,534.6,06/03/2018,37.01
James I of Scotland,405.0,05/04/2018,554.0,06/05/2018,36.79
Comptroller,452.0,05/06/2018,618.2,05/10/2018,36.77
Alexander III of Scotland,275.0,05/12/2018,374.4,05/27/2018,36.15
Lord Melbourne,33.8,05/08/2018,46.0,06/02/2018,36.09
Acts of Union 1707,719.4,06/09/2018,972.0,05/01/2018,35.11
Malcolm III of Scotland,353.6,06/09/2018,476.6,05/09/2018,34.79
Cherbourg,100.6,05/04/2018,135.0,06/06/2018,34.19
Crimean War,2833.8,06/02/2018,3794.2,05/12/2018,33.89
Kolkata,3331.2,06/15/2018,4444.2,05/28/2018,33.41
Order of the Royal House of Chakri,25.8,04/30/2018,34.4,05/10/2018,33.33
"Ernst II, Prince of Hohenlohe-Langenburg",46.6,06/01/2018,61.8,05/29/2018,32.62
"John Russell, 1st Earl Russell",235.6,06/09/2018,312.2,05/21/2018,32.51
House of Commons of the United Kingdom,1536.2,06/01/2018,2028.2,04/28/2018,32.03
Cherries jubilee,76.4,05/10/2018,100.6,06/09/2018,31.68
Indian Rebellion of 1857,2751.4,05/05/2018,3621.2,05/10/2018,31.61
A. C. Benson,37.0,05/05/2018,48.6,04/30/2018,31.35
David I of Scotland,368.4,05/08/2018,483.6,06/05/2018,31.27
Order of the Indian Empire,193.4,05/01/2018,253.8,05/19/2018,31.23
Palace of Versailles,3846.0,04/28/2018,5042.4,06/04/2018,31.11
Crest (heraldry),180.0,05/11/2018,236.0,05/19/2018,31.11
Kingdom of Portugal,469.2,05/04/2018,614.4,05/16/2018,30.95
Maud Gonne,172.0,05/12/2018,225.2,06/13/2018,30.93
Jubilee Tower,38.0,04/27/2018,49.4,05/07/2018,30.0
James IV of Scotland,573.8,05/05/2018,742.4,06/05/2018,29.38
"Frederick III, German Emperor",1141.0,06/09/2018,1475.6,05/20/2018,29.33
Edward Balliol,57.4,05/10/2018,73.8,05/21/2018,28.57
Chartists,9.8,05/27/2018,12.6,06/01/2018,28.57
Great Exhibition,62.6,06/09/2018,80.2,05/27/2018,28.12
Order of the Cross of Takovo,5.0,05/04/2018,6.4,05/17/2018,28.0
"Francis Conyngham, 2nd Marquess Conyngham",33.2,05/17/2018,42.2,05/25/2018,27.11
Azure (heraldry),84.0,04/28/2018,106.6,06/06/2018,26.9
Great Famine (Ireland),2833.4,04/28/2018,3592.0,05/02/2018,26.77
Order of Queen Maria Luisa,29.4,05/15/2018,37.2,05/19/2018,26.53
Order of Aftab,9.8,05/17/2018,12.4,06/02/2018,26.53
July Monarchy,420.6,06/15/2018,530.0,06/05/2018,26.01
Pale (heraldry),44.6,06/08/2018,56.2,05/25/2018,26.01
Grand Duchy of Hesse,230.6,06/07/2018,290.2,05/20/2018,25.85
Hackpen White Horse,12.4,05/18/2018,15.6,05/09/2018,25.81
Mexican Imperial Orders,25.6,05/11/2018,32.2,05/06/2018,25.78
British Whig Party,147.6,06/16/2018,184.4,05/20/2018,24.93
Kenneth MacAlpin,237.2,05/11/2018,295.8,05/27/2018,24.7
Penny Red,68.4,05/20/2018,84.8,05/01/2018,23.98
Isle of Wight,1761.4,04/28/2018,2175.6,05/20/2018,23.52
"National Portrait Gallery, London",278.0,05/08/2018,342.2,05/19/2018,23.09
Australia,16621.6,04/28/2018,20290.4,05/14/2018,22.07
Hector Bolitho,12.8,05/02/2018,15.6,05/17/2018,21.87
Alexander II of Russia,1721.8,05/05/2018,2086.2,05/17/2018,21.16
