File,Baseline,Baseline Date,Peak,Peak Date,Percent Increase
Los Angeles Times,1027.4,10/13/2018,1371.0,11/28/2018,33.44
Fox News,2150.6,12/02/2018,5605.6,11/07/2018,160.65
Jim McGreevey,227.4,10/14/2018,2269.8,11/07/2018,898.15
John Conyers,412.6,10/13/2018,1771.2,11/07/2018,329.28
"Lubbock, Texas",902.6,11/23/2018,1596.4,11/04/2018,76.87
American Samoa,2240.2,12/01/2018,3137.4,10/29/2018,40.05
Pete Saenz,28.4,11/14/2018,67.0,11/07/2018,135.92
Megan Barry,115.2,11/23/2018,377.4,11/30/2018,227.6
"Laredo, Texas",582.2,10/20/2018,749.8,11/23/2018,28.79
Minimum wage,1231.4,10/20/2018,1842.2,11/08/2018,49.6
Democratic Party (United States),7136.2,11/23/2018,57235.2,11/07/2018,702.04
Initiative,173.0,11/25/2018,421.4,11/07/2018,143.58
Dan Bishop,12.2,11/18/2018,104.0,10/31/2018,752.46
San Francisco,5739.8,12/01/2018,6775.6,10/14/2018,18.05
The Wall Street Journal,1449.8,12/01/2018,1960.0,11/28/2018,35.19
Ras J. Baraka,18.6,11/20/2018,297.8,11/07/2018,1501.08
Minnesota House of Representatives,172.8,10/28/2018,1267.2,11/07/2018,633.33
Tunica-Biloxi,39.2,10/20/2018,57.2,10/25/2018,45.92
"Providence, Rhode Island",1437.0,11/30/2018,3514.4,11/18/2018,144.57
Texas,7243.0,11/17/2018,11264.4,11/07/2018,55.52
"Dougherty County, Georgia",56.4,10/27/2018,335.4,11/07/2018,494.68
"Maricopa County, Arizona",425.8,10/27/2018,2660.4,11/09/2018,524.8
"Little Rock, Arkansas",1089.8,10/20/2018,1248.8,11/13/2018,14.59
Joseph Morelle,27.8,10/20/2018,149.6,11/14/2018,438.13
The Guardian,3423.2,10/13/2018,5942.6,11/04/2018,73.6
Muslim,2774.6,12/01/2018,3272.0,11/07/2018,17.93
Susan Wild,7.4,10/18/2018,579.4,11/26/2018,7729.73
Red states and blue states,1976.0,12/02/2018,41487.6,11/07/2018,1999.57
Voice of America,1149.0,11/23/2018,4120.4,11/27/2018,258.61
Maine Senate,74.8,10/28/2018,318.8,11/07/2018,326.2
Trump tariffs,953.8,11/24/2018,1949.2,11/27/2018,104.36
Forbes,2425.8,11/17/2018,2890.4,11/12/2018,19.15
Florida,5588.0,12/01/2018,9928.8,11/13/2018,77.68
Debbie Lesko,96.8,12/02/2018,562.6,11/07/2018,481.2
Michigan,3425.0,12/01/2018,6407.2,11/07/2018,87.07
Hawaii,7716.8,10/27/2018,8987.0,10/23/2018,16.46
Mike Pence,3867.0,11/24/2018,6943.0,12/03/2018,79.54
"United States elections, 1974",52.2,10/28/2018,331.2,11/07/2018,534.48
"San Jose, California",2144.4,11/22/2018,2774.6,10/29/2018,29.39
Connecticut Senate,91.8,12/01/2018,754.2,11/07/2018,721.57
Federal Election Commission,153.6,11/23/2018,497.4,11/07/2018,223.83
Northern Mariana Islands,1657.0,12/01/2018,9438.0,10/25/2018,469.58
Robert Schlesinger,14.2,10/27/2018,20.2,11/17/2018,42.25
"Bladen County, North Carolina",50.2,11/22/2018,664.6,11/30/2018,1223.9
"San Bernardino, California",749.0,10/12/2018,1023.2,11/12/2018,36.61
London Breed,411.6,11/25/2018,1553.2,11/07/2018,277.36
Robert Garcia (California politician),41.4,12/02/2018,117.4,11/07/2018,183.57
The Daily Beast,682.0,11/24/2018,975.8,10/18/2018,43.08
Political party strength in U.S. states,952.6,12/01/2018,8484.4,11/07/2018,790.66
"Irvine, California",743.4,12/02/2018,1216.6,11/13/2018,63.65
Tennessee,2976.4,12/01/2018,4440.0,11/07/2018,49.17
Elections in the United States,732.6,11/24/2018,11503.2,11/07/2018,1470.19
Washington (state),3621.0,12/01/2018,5303.8,10/30/2018,46.47
District of Columbia,554.8,10/13/2018,1154.4,11/07/2018,108.07
"Chesapeake, Virginia",282.0,11/22/2018,0.0,10/10/2018,-100.0
"Lane County, Oregon",100.0,11/09/2018,120.8,11/27/2018,20.8
"Lincoln, Nebraska",762.0,12/01/2018,1148.0,10/29/2018,50.66
Brad Little (politician),88.4,12/03/2018,1795.6,11/07/2018,1931.22
Mike Pompeo,1983.0,11/23/2018,11331.8,10/18/2018,471.45
Nancy Pelosi,4104.8,10/13/2018,117144.4,11/07/2018,2753.84
Arkansas,2436.0,11/22/2018,3025.8,10/12/2018,24.21
Ohio,3382.6,12/01/2018,4840.6,11/07/2018,43.1
Puerto Rico,6932.2,11/24/2018,8816.4,10/12/2018,27.18
Osage Nation,559.4,12/01/2018,1786.0,10/25/2018,219.27
"United States House of Representatives elections, 2018",5250.6,10/13/2018,79792.0,11/07/2018,1419.67
Lumbee,378.6,10/13/2018,475.0,10/15/2018,25.46
Bryce Edgmon,21.0,10/27/2018,60.0,12/01/2018,185.71
The Washington Post,0.0,10/10/2018,5108.6,10/28/2018,0
"Northern Mariana Islands gubernatorial election, 2018",41.8,10/20/2018,534.2,11/07/2018,1177.99
Nebraska,1647.8,12/02/2018,3164.2,10/20/2018,92.03
"Austin, Texas",2738.8,11/21/2018,3971.0,10/21/2018,44.99
Wave elections in the United States,64.6,10/13/2018,821.6,11/07/2018,1171.83
"Chula Vista, California",0.0,10/09/2018,589.2,11/01/2018,0
Montana,3135.4,11/23/2018,5981.6,11/07/2018,90.78
Illinois Democratic Party,7.0,10/28/2018,28.4,11/07/2018,305.71
Paul Ryan,2840.8,10/27/2018,21596.2,11/07/2018,660.22
Bill Nelson,1071.8,12/01/2018,27509.2,11/07/2018,2466.64
Northern Cheyenne Indian Reservation,75.2,10/21/2018,97.6,11/06/2018,29.79
Maine State Treasurer,7.2,12/01/2018,20.8,11/06/2018,188.89
115th Congress,22.4,10/20/2018,127.2,11/07/2018,467.86
Brian Kemp,1026.2,11/30/2018,27290.2,11/07/2018,2559.35
Bicameral,292.0,10/13/2018,1405.0,11/07/2018,381.16
Indiana,2762.8,11/23/2018,4338.6,11/07/2018,57.04
NPR,997.0,11/23/2018,1426.8,11/16/2018,43.11
"Chandler, Arizona",401.8,11/22/2018,754.4,10/29/2018,87.76
116th United States Congress,430.8,10/20/2018,15738.2,11/07/2018,3553.25
Sharice Davids,52.0,10/28/2018,16869.0,11/07/2018,32340.38
Bloomberg News,318.2,11/24/2018,0.0,10/09/2018,-100.0
Conor Lamb,242.0,12/03/2018,5602.2,11/07/2018,2214.96
CNN,2483.0,10/20/2018,6189.6,11/08/2018,149.28
Vladimir Putin,8209.0,11/03/2018,16186.2,12/01/2018,97.18
Rosebud Indian Reservation,137.4,10/13/2018,164.0,11/15/2018,19.36
South Dakota,1709.0,10/13/2018,2587.6,11/07/2018,51.41
Associated Press,1425.6,10/20/2018,2324.2,11/07/2018,63.03
Lolo Matalasi Moliga,69.4,10/18/2018,137.4,11/07/2018,97.98
Government trifecta,29.4,10/27/2018,259.8,11/07/2018,783.67
Lindsay Walters,23.2,10/27/2018,1420.8,11/08/2018,6024.14
"United States elections, 2014",288.8,11/30/2018,10870.6,11/07/2018,3664.06
Huffington Post,210.4,11/22/2018,298.6,11/05/2018,41.92
Patrick Leahy,787.8,11/23/2018,2480.0,11/07/2018,214.8
Greg Fischer,62.6,11/23/2018,367.4,11/07/2018,486.9
Pat Tiberi,46.8,12/02/2018,231.0,11/07/2018,393.59
Michael Donald Brown,36.4,11/18/2018,553.0,11/06/2018,1419.23
Rick Scott,2171.2,11/30/2018,34600.6,11/07/2018,1493.62
"United States elections, 1914",15.0,10/18/2018,132.8,11/13/2018,785.33
"United States elections, 2010",125.4,12/02/2018,15235.8,11/07/2018,12049.76
Mary Gay Scanlon,10.2,10/23/2018,786.4,11/07/2018,7609.8
Unicameralism,386.8,12/02/2018,874.2,11/07/2018,126.01
Martha McSally,506.4,12/02/2018,17606.8,11/13/2018,3376.86
Republican Party (United States),7459.2,11/23/2018,62996.8,11/07/2018,744.55
Mike Madigan,6.6,12/02/2018,45.2,11/07/2018,584.85
Libby Schaaf,162.4,11/21/2018,899.0,11/07/2018,453.57
Cook PVI,29.8,11/24/2018,500.4,11/07/2018,1579.19
Trent Franks,89.6,11/21/2018,238.4,11/07/2018,166.07
New York (state),5275.0,10/13/2018,8277.0,10/30/2018,56.91
United States Secretary of State,2084.4,11/23/2018,0.0,10/09/2018,-100.0
BBC News,1239.2,12/01/2018,1997.8,10/28/2018,61.22
Chris Cillizza,381.8,11/11/2018,406.6,11/13/2018,6.5
Mississippi,3103.4,10/13/2018,9771.4,11/28/2018,214.86
Cannabis (drug),5957.8,12/01/2018,10507.2,10/17/2018,76.36
R. Carey Davis,25.8,11/22/2018,108.8,11/06/2018,321.71
Redistricting commission,76.0,10/13/2018,443.4,11/07/2018,483.42
Blake Farenthold,70.0,11/22/2018,240.8,11/07/2018,244.0
United States Virgin Islands,2200.2,10/20/2018,2619.8,11/12/2018,19.07
"Fort Smith, Arkansas",370.2,11/08/2018,418.4,11/25/2018,13.02
Florida Commissioner of Agriculture,31.4,10/13/2018,391.0,11/19/2018,1145.22
Initiative 77,12.2,11/17/2018,52.8,11/06/2018,332.79
The Pew Charitable Trusts,120.0,12/01/2018,139.8,10/25/2018,16.5
South Carolina Senate,83.8,12/01/2018,232.8,11/07/2018,177.8
National Republican Congressional Committee,64.6,11/21/2018,204.6,11/07/2018,216.72
Chuck Schumer,2010.4,12/02/2018,8101.2,11/07/2018,302.96
Jenniffer González,131.8,10/13/2018,473.0,11/07/2018,258.88
Iowa Democratic Party,28.0,12/01/2018,71.2,11/04/2018,154.29
Hillary Schieve,34.4,11/23/2018,0.0,10/09/2018,-100.0
Governor of New Jersey,209.2,11/25/2018,909.6,11/07/2018,334.8
Pennsylvania's 7th congressional district,158.8,12/01/2018,1752.8,11/07/2018,1003.78
Kyrsten Sinema,2276.8,12/02/2018,106382.4,11/13/2018,4572.45
STAR voting,44.6,12/01/2018,280.2,11/01/2018,528.25
Shadow congressperson,167.6,11/30/2018,1033.4,11/07/2018,516.59
Non-voting members of the United States House of Representatives,296.6,11/24/2018,3464.8,11/07/2018,1068.17
MSNBC,1076.8,10/14/2018,2472.8,11/07/2018,129.64
Pennsylvania's 15th congressional district,104.0,12/01/2018,894.4,11/07/2018,760.0
Connecticut,3273.8,10/20/2018,4531.2,11/07/2018,38.41
Voter suppression in the United States,284.0,11/22/2018,1571.4,11/06/2018,453.31
Ed Lee (politician),207.2,11/23/2018,884.2,11/07/2018,326.74
Kansas Senate,63.6,10/13/2018,416.6,11/07/2018,555.03
Oklahoma,2798.4,10/20/2018,3298.8,10/12/2018,17.88
Business Insider,614.2,11/24/2018,830.4,11/14/2018,35.2
"Long Beach, California",1277.4,11/23/2018,0.0,10/10/2018,-100.0
Muriel Bowser,273.8,12/02/2018,1650.2,11/07/2018,502.7
Vaping,72.8,12/01/2018,223.8,10/18/2018,207.42
State attorney general,198.6,10/21/2018,1016.8,10/29/2018,411.98
Secretary of state (U.S. state government),128.0,11/22/2018,673.0,11/06/2018,425.78
Colorado,3483.4,11/23/2018,5569.2,11/07/2018,59.88
Ricardo Rosselló,259.6,11/23/2018,572.6,11/07/2018,120.57
"Washington, D.C. mayoral election, 2018",61.4,12/01/2018,1186.0,11/06/2018,1831.6
Gregorio Sablan,65.0,10/11/2018,318.8,11/07/2018,390.46
2018 United States elections,12.4,10/16/2018,6109.2,11/28/2018,49167.74
"Lexington, Kentucky",1164.4,11/23/2018,1318.0,11/25/2018,13.19
United States insular area,5.4,11/20/2018,53.2,11/07/2018,885.19
United States Space Force,805.6,11/24/2018,1468.4,11/06/2018,82.27
Maine,2879.0,11/22/2018,4413.2,11/07/2018,53.29
Cyberwarfare by China,69.4,11/24/2018,95.0,10/31/2018,36.89
New Progressive Party (Puerto Rico),99.6,10/28/2018,283.8,11/07/2018,184.94
Nate Silver,437.6,12/01/2018,4085.2,11/07/2018,833.55
Felon disenfranchisement in Florida,36.8,10/12/2018,326.0,11/07/2018,785.87
Incumbency advantage,7.8,11/17/2018,40.4,11/07/2018,417.95
List of U.S. statewide elected officials,18.2,10/14/2018,72.0,11/07/2018,295.6
CBS,2681.8,10/20/2018,3736.8,11/05/2018,39.34
Mayor of the District of Columbia,145.6,10/13/2018,482.4,11/07/2018,231.32
Andrew Gillum,433.4,12/03/2018,40829.2,11/07/2018,9320.67
Alaska House of Representatives,126.0,10/27/2018,448.8,11/07/2018,256.19
"Santa Ana, California",673.2,10/20/2018,774.0,11/25/2018,14.97
Voter turnout,689.8,11/23/2018,3961.8,11/07/2018,474.34
"Washington, D.C.",8617.4,11/24/2018,12012.0,11/07/2018,39.39
Mitch McConnell,3211.0,12/02/2018,13413.6,11/07/2018,317.74
Guam,3627.0,10/20/2018,5567.0,11/07/2018,53.49
South Carolina,2296.0,11/22/2018,3283.2,10/24/2018,43.0
ABC News,559.8,10/20/2018,1021.8,11/07/2018,82.53
Kate Brown,325.8,12/02/2018,6943.4,11/07/2018,2031.18
Bernie Sanders,5319.8,11/24/2018,20965.4,11/07/2018,294.1
North Dakota,1789.2,11/23/2018,3628.6,11/07/2018,102.81
"United States gubernatorial elections, 2018",634.6,12/02/2018,32406.4,11/07/2018,5006.59
Deb Haaland,176.0,10/12/2018,7257.6,11/07/2018,4023.64
Ethan Berkowitz,61.2,10/29/2018,546.8,12/01/2018,793.46
U.S. state,11799.8,11/17/2018,14715.8,11/23/2018,24.71
Louisiana,2413.0,12/02/2018,3682.4,10/12/2018,52.61
Modern liberalism in the United States,778.4,11/24/2018,1848.8,11/07/2018,137.51
BuzzFeed News,125.8,10/14/2018,247.4,11/30/2018,96.66
Jared Polis,1064.4,12/01/2018,43550.4,11/07/2018,3991.54
Fort Apache Indian Reservation,96.0,12/01/2018,134.6,11/13/2018,40.21
"Pima County, Arizona",198.6,11/23/2018,838.0,10/13/2018,321.95
"United States House of Representatives elections, 2016",275.0,12/02/2018,24576.6,11/07/2018,8836.95
Michael Cloud,73.8,11/23/2018,289.2,11/07/2018,291.87
State legislature (United States),505.0,11/23/2018,3340.8,11/07/2018,561.54
Filibuster in the United States Senate,336.8,11/24/2018,1363.8,11/07/2018,304.93
Glenn Kessler (journalist),31.2,12/01/2018,85.8,10/18/2018,175.0
Ron DeSantis,930.2,12/03/2018,50976.6,11/07/2018,5380.18
Minnesota Senate,139.6,10/27/2018,837.6,11/07/2018,500.0
Utah,2180.4,12/02/2018,3955.0,11/07/2018,81.39
Voter ID laws in the United States,574.8,11/24/2018,5265.6,11/06/2018,816.08
Resident Commissioner of Puerto Rico,97.8,11/22/2018,344.0,11/07/2018,251.74
Virginia,3201.8,12/02/2018,5421.2,11/07/2018,69.32
Alexandria Ocasio-Cortez,3613.2,10/27/2018,125663.8,11/07/2018,3377.91
Pennsylvania's 18th congressional district,126.4,12/01/2018,1388.8,11/07/2018,998.73
Ilhan Omar,778.6,10/13/2018,41948.2,11/07/2018,5287.64
Colorado Senate,94.2,12/02/2018,732.2,11/07/2018,677.28
Midwestern United States,2632.0,10/27/2018,3694.0,11/26/2018,40.35
Jorge Elorza,73.6,10/28/2018,177.6,11/07/2018,141.3
Jeanne Shaheen,570.0,10/27/2018,932.0,11/07/2018,63.51
"Virginia Beach, Virginia",838.8,12/01/2018,951.6,10/29/2018,13.45
Ohio's 12th congressional district,67.2,12/02/2018,986.4,11/07/2018,1367.86
Hurricane Michael,1997.8,12/02/2018,97233.6,10/11/2018,4767.03
Florida Amendment 4 (2018),15.6,12/02/2018,559.6,11/07/2018,3487.18
Russian interference in the 2018 United States elections,69.0,12/01/2018,1288.6,11/06/2018,1767.54
Tampa Bay Times,136.2,12/01/2018,260.4,11/28/2018,91.19
"Reno, Nevada",1264.8,12/01/2018,1529.4,11/07/2018,20.92
Mary Salas,0.0,10/09/2018,78.0,11/06/2018,0
Non-partisan democracy,123.0,12/02/2018,344.2,11/06/2018,179.84
Paulette Jordan,128.8,12/01/2018,3280.0,11/07/2018,2446.58
Sam Liccardo,53.4,12/02/2018,113.2,11/07/2018,111.99
99th United States Congress,96.0,10/20/2018,448.8,11/07/2018,367.5
Affordable Care Act,154.0,12/02/2018,417.4,11/07/2018,171.04
Political divisions of the United States,295.8,12/01/2018,521.8,11/07/2018,76.4
Rashida Tlaib,236.2,10/14/2018,17349.8,11/07/2018,7245.39
Felony disenfranchisement,540.2,12/01/2018,6406.4,11/07/2018,1085.93
Women in the United States Senate,472.8,12/02/2018,2689.6,11/07/2018,468.87
Hillary Clinton,10796.4,11/30/2018,12052.0,11/07/2018,11.63
Yurok Indian Reservation,32.0,10/21/2018,40.6,11/15/2018,26.88
Phil Scott (politician),207.8,12/02/2018,2275.8,11/07/2018,995.19
"Louisville, Kentucky",1298.2,12/02/2018,2376.6,10/23/2018,83.07
New Mexico,3252.4,11/24/2018,12084.0,10/14/2018,271.54
USA Today,1081.6,10/27/2018,0.0,10/09/2018,-100.0
Delaware,2431.2,12/01/2018,3337.6,11/07/2018,37.28
United States House of Representatives,5951.0,12/02/2018,149329.8,11/07/2018,2409.32
NBC News,455.0,10/13/2018,994.0,11/07/2018,118.46
Kentucky,2545.4,12/01/2018,3521.8,10/22/2018,38.36
"Corpus Christi, Texas",974.6,11/18/2018,1259.2,11/07/2018,29.2
Bathroom bill,1365.0,10/20/2018,1503.4,10/22/2018,10.14
Massachusetts,4426.6,12/01/2018,6295.8,11/07/2018,42.23
National Conference of State Legislatures,54.4,11/22/2018,185.0,11/06/2018,240.07
Delegate (United States Congress),71.6,11/24/2018,387.8,11/07/2018,441.62
Mexico–United States barrier,802.6,10/13/2018,2037.2,11/26/2018,153.83
Pine Ridge Indian Reservation,506.0,11/17/2018,715.8,11/06/2018,41.46
Tax Cuts and Jobs Act of 2017,1145.0,10/13/2018,2366.4,11/07/2018,106.67
"Oakland, California",1776.2,12/01/2018,2248.6,10/15/2018,26.6
"Anaheim, California",911.8,11/23/2018,1291.4,11/04/2018,41.63
New Mexico Senate,65.8,12/01/2018,245.2,11/08/2018,272.64
Mother Jones (magazine),339.4,11/24/2018,535.8,11/08/2018,57.87
Susan Collins,977.4,11/23/2018,0.0,10/09/2018,-100.0
Steny Hoyer,487.6,10/13/2018,3524.6,11/07/2018,622.85
Troy Balderson,100.6,12/01/2018,816.2,11/07/2018,711.33
State auditor,35.8,11/21/2018,374.8,11/06/2018,946.93
San Carlos Apache Indian Reservation,86.0,10/28/2018,118.4,11/13/2018,37.67
Stacey Abrams,841.6,12/02/2018,64259.8,11/07/2018,7535.43
"Garland, Texas",270.2,10/13/2018,334.8,11/11/2018,23.91
American Broadcasting Company,2128.0,10/28/2018,2529.6,10/16/2018,18.87
Unicameral,376.4,11/03/2018,512.8,11/07/2018,36.24
Donald Trump,47269.6,10/20/2018,109971.0,11/07/2018,132.65
Presidency of Donald Trump,1947.6,11/24/2018,5902.4,11/07/2018,203.06
LGBT,6023.6,10/20/2018,7388.0,11/07/2018,22.65
New York's 25th congressional district,79.0,12/01/2018,1007.6,11/07/2018,1175.44
Claire McCaskill,627.8,12/03/2018,18783.8,11/07/2018,2892.0
China,20289.0,10/27/2018,44062.6,12/02/2018,117.17
United States Intelligence Community,751.8,10/13/2018,511.8,12/03/2018,-31.92
"Anchorage, Alaska",2017.2,11/17/2018,11330.8,11/30/2018,461.71
Politico,780.4,11/22/2018,1792.0,11/05/2018,129.63
Vox (website),1978.2,11/04/2018,2377.4,11/09/2018,20.18
Angus King,496.6,12/02/2018,14408.8,11/07/2018,2801.49
New Hampshire Senate,101.4,10/21/2018,432.8,11/07/2018,326.82
Instant-runoff voting,586.4,10/13/2018,2268.2,11/07/2018,286.8
Alabama,3571.2,10/20/2018,4499.2,10/12/2018,25.99
Arizona,3473.2,12/01/2018,5981.0,11/13/2018,72.2
Louise Slaughter,160.0,12/01/2018,1095.0,11/07/2018,584.38
2018 Russia–United States summit,134.0,11/24/2018,671.2,10/24/2018,400.9
Texas's 27th congressional district,62.0,12/01/2018,383.2,11/07/2018,518.06
Patient Protection and Affordable Care Act,2675.2,10/13/2018,6130.6,11/07/2018,129.16
2020 United States Census,122.8,10/20/2018,593.8,11/07/2018,383.55
Financial Times,756.2,11/24/2018,1113.4,11/12/2018,47.24
Council of the District of Columbia,103.8,11/24/2018,320.2,11/06/2018,208.48
Houma people,49.8,12/02/2018,108.4,10/18/2018,117.67
New Hampshire House of Representatives,215.8,12/01/2018,1095.2,11/07/2018,407.51
Dan Coats,358.6,10/13/2018,787.6,11/29/2018,119.63
California,10842.4,12/01/2018,17300.0,11/04/2018,59.56
Oklahoma City,1405.2,10/14/2018,1858.6,10/17/2018,32.27
FiveThirtyEight,499.6,12/01/2018,5464.4,11/07/2018,993.76
Chris Beutler,20.4,10/13/2018,122.4,11/07/2018,500.0
David Briley,83.6,11/24/2018,593.6,12/01/2018,610.05
Nevada,2477.6,12/01/2018,4530.0,11/07/2018,82.84
Michigan's 13th congressional district,185.4,10/14/2018,2083.8,11/07/2018,1023.95
Swing state,471.4,12/01/2018,3144.4,11/07/2018,567.03
Early voting,103.0,11/25/2018,2392.4,11/06/2018,2222.72
Alaska,6159.8,10/27/2018,12585.0,11/30/2018,104.31
Classes of United States Senators,258.8,12/02/2018,6042.6,11/07/2018,2234.85
Illinois,4086.0,12/01/2018,5168.4,11/07/2018,26.49
CNBC,868.6,10/20/2018,1184.4,10/12/2018,36.36
Donald P. Wagner,23.4,12/02/2018,207.4,11/06/2018,786.32
Territories of the United States,2197.4,10/20/2018,3726.4,11/07/2018,69.58
U.S. News & World Report,906.0,11/23/2018,1090.6,10/11/2018,20.38
"Newark mayoral election, 2018",7.8,12/03/2018,110.8,11/07/2018,1320.51
"United States Senate elections, 2018",1382.8,12/02/2018,88223.0,11/07/2018,6280.03
"Fargo, North Dakota",847.0,11/22/2018,1175.0,11/07/2018,38.72
The New York Times,4792.4,10/20/2018,5673.4,11/06/2018,18.38
Northeastern United States,1004.8,11/23/2018,1605.4,11/29/2018,59.77
Steve Adler (lawyer),108.0,11/24/2018,357.6,11/07/2018,231.11
Idaho,2239.0,12/01/2018,3126.2,11/07/2018,39.62
Oregon,3017.2,11/22/2018,3948.4,11/07/2018,30.86
Pat Meehan,85.6,12/02/2018,634.6,11/07/2018,641.36
Arizona Superintendent of Public Instruction,13.4,12/02/2018,142.6,11/13/2018,964.18
Iowa,2301.8,12/01/2018,3597.2,11/07/2018,56.28
Vermont,1992.6,12/02/2018,4654.6,11/07/2018,133.59
Georgia (U.S. state),3772.6,11/22/2018,8056.4,11/07/2018,113.55
West Virginia,2996.4,10/20/2018,3749.2,11/24/2018,25.12
Kansas,2743.0,10/13/2018,4269.4,11/07/2018,55.65
Time (magazine),1747.0,11/10/2018,2198.2,10/11/2018,25.83
New Jersey,4134.8,12/01/2018,5410.8,11/07/2018,30.86
Quapaw,93.2,11/21/2018,0.0,10/09/2018,-100.0
Coming out,987.4,10/19/2018,1404.8,10/11/2018,42.27
2016 United States elections,5.6,11/21/2018,248.0,11/28/2018,4328.57
David Holt (politician),64.0,10/20/2018,125.8,11/07/2018,96.56
2016 United States presidential election,37.2,10/31/2018,5397.0,12/03/2018,14408.06
2018 Georgia gubernatorial election,3.0,12/02/2018,84.4,11/06/2018,2713.33
"Trenton, New Jersey",653.8,10/20/2018,1429.6,10/13/2018,118.66
Missouri,3154.4,12/01/2018,5412.0,11/07/2018,71.57
United States midterm election,1290.2,12/01/2018,89674.6,11/07/2018,6850.44
African-American,511.6,10/24/2018,703.4,11/14/2018,37.49
Dan Pope,19.2,10/28/2018,16.2,12/03/2018,-15.62
Rhode Island,2162.2,12/02/2018,3544.8,11/18/2018,63.94
New York State Senate,426.2,12/01/2018,3549.6,11/07/2018,732.85
Staggered elections,43.2,11/22/2018,323.0,11/07/2018,647.69
