File,Baseline,Baseline Date,Peak,Peak Date,Percent Increase
Commercial Spaceflight Federation,27.6,01/13/2018,55.0,02/07/2018,99.28
Asteroid Terrestrial-impact Last Alert System,17.2,01/21/2018,23.6,01/14/2018,37.21
Earth,46817.4,02/02/2018,51025.6,01/16/2018,8.99
Forbes (magazine),71.6,02/11/2018,88.6,03/02/2018,23.74
Kilometre,509.4,02/17/2018,574.4,02/26/2018,12.76
MELOS,15.4,01/20/2018,32.0,01/11/2018,107.79
Falcon 9 v1.0,54.8,01/21/2018,429.4,02/07/2018,683.58
Future Imagery Architecture,56.4,02/17/2018,418.4,01/13/2018,641.84
Bangabandhu-1,107.0,02/03/2018,158.8,03/05/2018,48.41
Hyperloop,3575.6,01/27/2018,13531.2,02/19/2018,278.43
Falcon 9 v1.1,86.6,01/21/2018,623.4,02/07/2018,619.86
Apparent magnitude,728.2,01/20/2018,1016.8,02/24/2018,39.63
Mars-Aster,6.0,01/13/2018,10.0,02/08/2018,66.67
Charon (moon),420.8,01/13/2018,681.8,02/09/2018,62.02
Astrometry,99.4,03/03/2018,109.0,01/26/2018,9.66
Carbon–carbon bond,216.6,02/24/2018,280.8,01/18/2018,29.64
Gimmick,139.2,02/24/2018,139.6,02/12/2018,0.29
Apsis,451.0,01/13/2018,1378.8,02/02/2018,205.72
Dmitry Rogozin,71.4,01/13/2018,104.6,02/27/2018,46.5
High-altitude platform station,73.4,01/21/2018,181.4,02/22/2018,147.14
Foundation series,1411.2,02/03/2018,4659.2,02/07/2018,230.16
Human mission to Mars,1229.2,01/20/2018,2841.2,02/07/2018,131.14
Jonathan McDowell,6.8,02/03/2018,27.0,02/08/2018,297.06
Lyndon Rive,630.4,01/22/2018,4850.4,02/07/2018,669.42
Fobos-Grunt,82.4,01/20/2018,129.4,02/08/2018,57.04
Lada,675.0,02/13/2018,781.6,01/26/2018,15.79
Areocentric orbit,14.4,01/13/2018,103.6,02/07/2018,619.44
Elon Musk's Tesla Roadster,550.2,01/21/2018,40849.4,02/07/2018,7324.46
Douglas Adams,2258.8,03/02/2018,3294.8,02/26/2018,45.87
Chang'e 4,95.4,01/20/2018,135.8,02/07/2018,42.35
Found object,141.4,01/20/2018,191.8,02/13/2018,35.64
Chris Lattner,172.4,02/10/2018,189.4,02/05/2018,9.86
FalconSAT,26.6,01/14/2018,25.0,01/13/2018,-6.02
COSMO-SkyMed,36.8,02/04/2018,46.4,01/18/2018,26.09
Autonomous things,12.4,01/22/2018,20.6,02/01/2018,66.13
CASSIOPE,24.8,01/21/2018,168.8,02/05/2018,580.65
Dubbo,190.6,02/10/2018,230.6,02/06/2018,20.99
Jason-3,39.6,01/20/2018,79.6,02/07/2018,101.01
Hornsdale Power Reserve,4.6,01/14/2018,12.0,02/06/2018,160.87
List of USA satellites,139.2,01/27/2018,0.0,01/09/2018,-100.0
Curiosity (rover),1051.0,01/20/2018,2888.0,02/02/2018,174.79
Kennedy Space Center,974.0,03/03/2018,3372.6,02/07/2018,246.26
Fountain (Duchamp),725.2,01/13/2018,975.0,01/26/2018,34.45
GRACE-FO,14.0,03/03/2018,18.8,02/07/2018,34.29
Joe Gebbia,299.6,01/13/2018,467.8,01/25/2018,56.14
BepiColombo,137.0,01/14/2018,206.0,01/26/2018,50.36
Al Yah 3,4.4,01/11/2018,42.4,01/26/2018,863.64
Justine Musk,3366.0,01/22/2018,35007.8,02/07/2018,940.04
Astronomical units,41.8,03/03/2018,69.2,01/11/2018,65.55
Fengyun,42.4,02/24/2018,47.2,01/11/2018,11.32
Carbon fiber reinforced polymer,562.2,01/20/2018,758.0,02/08/2018,34.83
FalconSAT-2,16.8,03/03/2018,115.8,02/07/2018,589.29
Aphelion,87.0,01/20/2018,403.2,02/07/2018,363.45
Mariner 6 and 7,35.0,01/20/2018,50.6,02/07/2018,44.57
James Murdoch,327.4,03/03/2018,695.6,01/16/2018,112.46
ISS,167.0,02/24/2018,267.8,02/07/2018,60.36
Horizons-3e,10.4,02/19/2018,19.8,02/07/2018,90.38
Cygnus CRS OA-9E,25.8,01/16/2018,40.8,02/07/2018,58.14
Iridium NEXT,36.4,01/19/2018,231.8,02/07/2018,536.81
Beagle 2,144.8,01/13/2018,225.8,01/26/2018,55.94
Beagle 3,15.2,01/27/2018,21.0,02/10/2018,38.16
Colonization of Mars,892.8,01/20/2018,4008.0,02/07/2018,348.92
Falcon 9 Block 5,100.8,01/20/2018,908.8,02/07/2018,801.59
Capella Space,7.6,01/21/2018,15.8,02/22/2018,107.89
LightSail 2,53.4,01/20/2018,1321.0,02/07/2018,2373.78
AsiaSat 6,10.8,01/21/2018,12.8,03/02/2018,18.52
Instagram,10614.2,01/27/2018,11991.8,02/05/2018,12.98
Mars,6771.6,01/20/2018,10126.4,02/07/2018,49.54
Europa Clipper,248.6,01/20/2018,476.8,02/15/2018,91.79
Advertising Age,125.0,01/27/2018,86.4,03/05/2018,-30.88
Lagrange point,47.6,01/14/2018,94.4,02/07/2018,98.32
ADM-Aeolus,32.0,01/21/2018,38.6,01/29/2018,20.63
Defence Intelligence Fusion Centre,41.2,01/21/2018,67.2,03/02/2018,63.11
Graveyard orbit,228.4,01/20/2018,475.4,02/07/2018,108.14
Marc Tarpenning,234.2,01/20/2018,1017.6,02/07/2018,334.5
EchoStar 23,5.6,01/29/2018,31.6,02/07/2018,464.29
Inspiration Mars Foundation,46.4,01/28/2018,197.6,02/11/2018,325.86
Evening Standard,104.0,02/06/2018,136.0,01/15/2018,30.77
2001 Mars Odyssey,94.4,01/19/2018,170.6,02/19/2018,80.72
List of passive satellites,27.6,01/20/2018,140.0,01/26/2018,407.25
List of GLONASS satellites,30.8,02/04/2018,44.0,03/01/2018,42.86
